Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 26.00      3.12     3.12  3953463     0.00     0.00  is_valid_ptr
 16.25      5.07     1.95     9287     0.00     0.00  reset_all_been_visited
 14.25      6.78     1.71 22906112     0.00     0.00  is_ptr_to_page
  6.33      7.54     0.76  1771990     0.00     0.00  get_size_format_vector
  5.00      8.14     0.60  9330239     0.00     0.00  is_little_end
  4.33      8.66     0.52  4401781     0.00     0.00  get_data_id
  3.83      9.12     0.46  2727627     0.00     0.00  reset_been_visited
  3.33      9.52     0.40     9287     0.00     0.00  do_move
  3.25      9.91     0.39  3035908     0.00     0.00  is_format_vector
  3.08     10.28     0.37  5292131     0.00     0.00  get_format_vector_idx
  2.33     10.56     0.28  3324907     0.00     0.00  get_bit_alloc_map
  2.08     10.81     0.25     2365     0.00     0.00  make_passive
  1.83     11.03     0.22  1942753     0.00     0.00  is_been_visited
  1.83     11.25     0.22  1310570     0.00     0.00  is_data_size
  1.33     11.41     0.16   252978     0.00     0.00  is_movable
  1.00     11.53     0.12   115360     0.00     0.00  set_format_vector
  0.75     11.62     0.09   157501     0.00     0.00  get_moveto_page
  0.58     11.69     0.07   640297     0.00     0.00  avail_space_page
  0.42     11.74     0.05   542640     0.00     0.00  has_room
  0.33     11.78     0.04   162601     0.00     0.00  alloc_mem_block
  0.33     11.82     0.04   115360     0.00     0.00  page_alloc_struct
  0.25     11.85     0.03    47241     0.00     0.00  set_data_size
  0.25     11.88     0.03      467     0.00     0.00  stack_addresses
  0.17     11.90     0.02    47241     0.00     0.00  page_alloc_data
  0.17     11.92     0.02    46652     0.00     0.00  get_data_size
  0.17     11.94     0.02     6034     0.00     0.00  used_space
  0.08     11.95     0.01   772853     0.00     0.00  is_active
  0.08     11.96     0.01   157501     0.00     0.00  move_data_block
  0.08     11.97     0.01   157501     0.00     0.00  set_forward_address
  0.08     11.98     0.01    95477     0.00     0.00  set_been_visited
  0.08     11.99     0.01    55303     0.00     0.00  get_forward_address
  0.08     12.00     0.01     3939     0.00     0.00  ioopm_linked_list_append
  0.00     12.00     0.00   162601     0.00     0.00  alloc_metadata
  0.00     12.00     0.00   162601     0.00     0.00  set_bit_alloc_map
  0.00     12.00     0.00    55303     0.00     0.00  is_forward_address
  0.00     12.00     0.00    47481     0.00     0.00  used_space_page
  0.00     12.00     0.00    15889     0.00     0.00  string_compare_function
  0.00     12.00     0.00     9022     0.00     0.00  get_size_and_format_vector
  0.00     12.00     0.00     8652     0.00     0.00  string_lt
  0.00     12.00     0.00     6754     0.00     0.00  get_sentinel_bucket
  0.00     12.00     0.00     5100     0.00     0.00  get_alloc_page
  0.00     12.00     0.00     4511     0.00     0.00  calc_buf_length
  0.00     12.00     0.00     4511     0.00     0.00  get_size_of_struct
  0.00     12.00     0.00     4511     0.00     0.00  h_alloc_struct
  0.00     12.00     0.00     4511     0.00     0.00  h_alloc_struct_internal
  0.00     12.00     0.00     4511     0.00     0.00  handle_input
  0.00     12.00     0.00     4020     0.00     0.00  find_previous_entry_for_key
  0.00     12.00     0.00     4020     0.00     0.00  get_sentinel
  0.00     12.00     0.00     4020     0.00     0.00  string_sum_hash
  0.00     12.00     0.00     3939     0.00     0.00  create_link
  0.00     12.00     0.00     3873     0.00     0.00  ioopm_hash_table_lookup
  0.00     12.00     0.00     3822     0.00     0.00  ioopm_iterator_current
  0.00     12.00     0.00     3822     0.00     0.00  ioopm_iterator_has_next
  0.00     12.00     0.00     3723     0.00     0.00  ioopm_iterator_next
  0.00     12.00     0.00     2373     0.00     0.00  make_active
  0.00     12.00     0.00      946     0.00     0.00  read_string
  0.00     12.00     0.00      934     0.00     0.00  h_used
  0.00     12.00     0.00      888     0.00     0.00  ask_question
  0.00     12.00     0.00      589     0.00     0.00  h_alloc_data
  0.00     12.00     0.00      589     0.00     0.00  h_alloc_data_internal
  0.00     12.00     0.00      538     0.00     0.00  str_to_str
  0.00     12.00     0.00      511     0.00     0.00  is_menu_choice_list
  0.00     12.00     0.00      467     0.00     0.00  get_active_pages
  0.00     12.00     0.00      467     0.00     0.00  get_passive_pages
  0.00     12.00     0.00      467     0.00     0.00  get_valid_ptrs
  0.00     12.00     0.00      467     0.00     0.03  h_gc
  0.00     12.00     0.00      467     0.00     0.00  heap_has_room
  0.00     12.00     0.00      467     0.00     0.03  move
  0.00     12.00     0.00      355     0.00     0.00  ioopm_hash_table_has_key
  0.00     12.00     0.00      350     0.00     0.00  str_to_int
  0.00     12.00     0.00      289     0.00     0.00  ask_question_string
  0.00     12.00     0.00      289     0.00     0.00  not_empty
  0.00     12.00     0.00      289     0.00     0.00  not_empty_
  0.00     12.00     0.00      252     0.00     0.00  is_number
  0.00     12.00     0.00      201     0.00     0.00  ioopm_linked_list_create
  0.00     12.00     0.00      199     0.00     0.00  ioopm_ask_menu
  0.00     12.00     0.00      199     0.00     0.00  ioopm_linked_list_any
