Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 40.26      7.81     7.81  1771990     0.00     0.00  get_format_vector
 15.62     10.84     3.03  3953463     0.00     0.00  is_valid_ptr
  9.23     12.63     1.79 22906112     0.00     0.00  is_ptr_to_page
  9.02     14.38     1.75     9287     0.00     0.00  reset_all_been_visited
  4.95     15.34     0.96  6284620     0.00     0.00  get_data_id
  3.81     16.08     0.74  4918747     0.00     0.00  is_format_vector
  2.78     16.62     0.54 11213078     0.00     0.00  is_little_end
  2.78     17.16     0.54   110849     0.00     0.00  get_size_struct
  2.22     17.59     0.43  2727627     0.00     0.00  reset_been_visited
  1.75     17.93     0.34     9287     0.00     0.00  do_move
  1.19     18.16     0.23  1942753     0.00     0.00  is_been_visited
  0.98     18.35     0.19  3324907     0.00     0.00  get_bit_alloc_map
  0.82     18.51     0.16     2365     0.00     0.00  make_passive
  0.77     18.66     0.15   542640     0.00     0.00  has_room
  0.77     18.81     0.15   252978     0.00     0.00  is_movable
  0.72     18.95     0.14  1310570     0.00     0.00  is_data_size
  0.62     19.07     0.12   157501     0.00     0.00  get_moveto_page
  0.26     19.12     0.05   772853     0.00     0.00  is_active
  0.21     19.16     0.04   115360     0.00     0.00  page_alloc_struct
  0.15     19.19     0.03   640297     0.00     0.00  avail_space_page
  0.15     19.22     0.03   157501     0.00     0.00  move_data_block
  0.15     19.25     0.03   157501     0.00     0.00  set_forward_address
  0.15     19.28     0.03   115360     0.00     0.00  set_format_vector
  0.10     19.30     0.02   162601     0.00     0.00  alloc_mem_block
  0.10     19.32     0.02    47241     0.00     0.00  set_data_size
  0.10     19.34     0.02      467     0.00     0.00  stack_addresses
  0.05     19.35     0.01   162601     0.00     0.00  set_bit_alloc_map
  0.05     19.36     0.01    95477     0.00     0.00  set_been_visited
  0.05     19.37     0.01    47241     0.00     0.00  page_alloc_data
  0.05     19.38     0.01    46652     0.00     0.00  get_data_size
  0.05     19.39     0.01     6034     0.00     0.00  used_space
  0.05     19.40     0.01     4511     0.00     0.00  h_alloc_struct_internal
  0.00     19.40     0.00   162601     0.00     0.00  alloc_metadata
  0.00     19.40     0.00    55303     0.00     0.00  get_forward_address
  0.00     19.40     0.00    55303     0.00     0.00  is_forward_address
  0.00     19.40     0.00    47481     0.00     0.00  used_space_page
  0.00     19.40     0.00    15889     0.00     0.00  string_compare_function
  0.00     19.40     0.00     9022     0.00     0.00  get_size_and_format_vector
  0.00     19.40     0.00     8652     0.00     0.00  string_lt
  0.00     19.40     0.00     6754     0.00     0.00  get_sentinel_bucket
  0.00     19.40     0.00     5100     0.00     0.00  get_alloc_page
  0.00     19.40     0.00     4511     0.00     0.00  calc_buf_length
  0.00     19.40     0.00     4511     0.00     0.00  get_size_of_struct
  0.00     19.40     0.00     4511     0.00     0.00  h_alloc_struct
  0.00     19.40     0.00     4511     0.00     0.00  handle_input
  0.00     19.40     0.00     4020     0.00     0.00  find_previous_entry_for_key
  0.00     19.40     0.00     4020     0.00     0.00  get_sentinel
  0.00     19.40     0.00     4020     0.00     0.00  string_sum_hash
  0.00     19.40     0.00     3939     0.00     0.00  create_link
  0.00     19.40     0.00     3939     0.00     0.00  ioopm_linked_list_append
